"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","06-Dec-2016","25-Jan-2017","CE","9000","7.55","8.25","6.8","7.25","6.9","7.25","2348","15861.84","12.84","872025","20250","8143.15"
"NIFTY","07-Dec-2016","25-Jan-2017","CE","9000","7.4","8.05","6.2","6.65","6.9","6.65","2963","20015.82","15.57","887700","15675","8102.05"
"NIFTY","08-Dec-2016","25-Jan-2017","CE","9000","6.8","8.1","6.75","6.95","7","6.95","5944","40155","33","899400","11700","8246.85"
"NIFTY","09-Dec-2016","25-Jan-2017","CE","9000","6","7.75","6","6.6","6.8","6.6","3838","25926.23","19.73","891675","-7725","8261.75"
"NIFTY","12-Dec-2016","25-Jan-2017","CE","9000","5","6.85","4.8","5.4","5.5","5.4","6410","43293.99","26.49","911025","19350","8170.8"
"NIFTY","13-Dec-2016","25-Jan-2017","CE","9000","5.55","5.8","4.55","5.55","5.4","5.55","3615","24415.18","13.93","923925","12900","8221.8"
"NIFTY","14-Dec-2016","25-Jan-2017","CE","9000","5.15","5.7","4.35","4.8","5","4.8","4575","30898.65","17.4","968475","44550","8182.45"
"NIFTY","15-Dec-2016","25-Jan-2017","CE","9000","4.35","4.9","3.45","3.95","3.85","3.95","5449","36797.57","16.82","991875","23400","8153.6"
"NIFTY","16-Dec-2016","25-Jan-2017","CE","9000","3.6","4.15","2.95","3.3","3.15","3.3","4187","28272.86","10.61","1037175","45300","8139.45"
"NIFTY","19-Dec-2016","25-Jan-2017","CE","9000","3.25","3.4","2.25","2.55","2.75","2.55","4136","27926.29","8.29","1022175","-15000","8104.35"
"NIFTY","20-Dec-2016","25-Jan-2017","CE","9000","2.1","2.8","2.05","2.3","2.35","2.3","4662","31476.24","7.74","1030425","8250","8082.4"
"NIFTY","21-Dec-2016","25-Jan-2017","CE","9000","2.35","2.35","1.9","2.2","2.1","2.2","4292","28977.64","6.64","1086375","55950","8061.3"
"NIFTY","22-Dec-2016","25-Jan-2017","CE","9000","2.2","2.2","1.6","1.85","1.8","1.85","2821","19045.46","3.71","1088625","2250","7979.1"
"NIFTY","23-Dec-2016","25-Jan-2017","CE","9000","1.85","1.9","1.65","1.75","1.7","1.75","2025","13671.4","2.65","1097775","9150","7985.75"
"NIFTY","26-Dec-2016","25-Jan-2017","CE","9000","1.3","1.65","1.1","1.15","1.15","1.15","4234","28583.51","4.01","1138050","40275","7908.25"
"NIFTY","27-Dec-2016","25-Jan-2017","CE","9000","1.15","1.2","1","1.1","1.05","1.1","2867","19354.58","2.33","1168425","30375","8032.85"
"NIFTY","28-Dec-2016","25-Jan-2017","CE","9000","1.15","1.3","1.1","1.2","1.2","1.2","6744","45527.83","5.83","1341150","172725","8034.85"
"NIFTY","29-Dec-2016","25-Jan-2017","CE","9000","1.4","1.4","0.85","0.95","1","0.95","9229","62302.84","7.09","1744650","403500","8103.6"
"NIFTY","30-Dec-2016","25-Jan-2017","CE","9000","1.1","1.15","0.95","1.05","1.05","1.05","11393","76912","9.25","1963650","219000","8185.8"
"NIFTY","02-Jan-2017","25-Jan-2017","CE","9000","1.5","1.55","0.9","1","1","1","9791","66096.46","7.21","1953075","-10575","8179.5"
"NIFTY","03-Jan-2017","25-Jan-2017","CE","9000","0.95","1.05","0.8","0.85","0.8","0.85","4885","32977.19","3.44","1965825","12750","8192.25"
"NIFTY","04-Jan-2017","25-Jan-2017","CE","9000","0.9","0.9","0.75","0.85","0.85","0.85","4148","28001.58","2.58","1920750","-45075","8190.5"
"NIFTY","05-Jan-2017","25-Jan-2017","CE","9000","0.85","1.2","0.85","1.1","1.05","1.1","6579","44413.15","4.9","1871400","-49350","8273.8"
"NIFTY","06-Jan-2017","25-Jan-2017","CE","9000","1.2","1.2","0.85","0.95","1","0.95","8322","56179.99","6.49","1883925","12525","8243.8"
"NIFTY","09-Jan-2017","25-Jan-2017","CE","9000","0.85","1.15","0.85","0.9","0.9","0.9","6080","41044.44","4.44","1843200","-40725","8236.05"
"NIFTY","10-Jan-2017","25-Jan-2017","CE","9000","0.85","1","0.75","0.8","0.75","0.8","2968","20035.9","1.9","1824525","-18675","8288.6"
